date,east,london,midlands,north_east,north_west,south_east,south_west
12/05/2020,130950,255255,228000,241725,285945,186300,63855
13/05/2020,140415,268200,225300,215550,282315,164340,68040
14/05/2020,148140,231660,239085,204000,250200,158565,65520
15/05/2020,133815,225390,253260,204900,269940,143250,64980
16/05/2020,128205,236700,207750,207405,237000,142890,57255
17/05/2020,119550,192300,215850,223200,285840,139590,59565
18/05/2020,140940,226440,263880,205095,286380,125550,66780
19/05/2020,129855,212760,216000,182250,294480,122700,53700
20/05/2020,126060,157500,212250,188595,236100,117450,63720
21/05/2020,133200,183240,253620,160050,250305,130020,58905
22/05/2020,129240,157050,248580,154950,224250,147240,55275
23/05/2020,106050,172980,234540,161535,219600,124575,49500
24/05/2020,122940,146100,198600,162030,235290,128205,48450
25/05/2020,102450,177660,205800,182520,235290,119460,47550
26/05/2020,96150,157905,196050,167145,234960,134460,45150
27/05/2020,94800,150645,227880,159225,201300,118800,40650
28/05/2020,98835,142065,221040,154935,232560,109725,47880
29/05/2020,82830,125850,211680,148995,227700,107745,41415
30/05/2020,79650,117000,201600,141240,200970,98835,38940
31/05/2020,77250,112200,183645,130500,201465,98835,41760
01/06/2020,94680,110550,206640,143055,184050,111780,41760
02/06/2020,72300,117150,182160,154080,182550,91050,34800
03/06/2020,76395,114840,189720,147420,215100,107280,38610
04/06/2020,70125,110385,155400,115050,203940,104580,40320
05/06/2020,61200,119160,148050,110850,185295,83700,39240
06/06/2020,72435,97515,143250,126180,190080,99180,35145
07/06/2020,58350,105480,153780,104700,167640,77400,28200
08/06/2020,65010,96525,154440,106200,168135,84315,25950
09/06/2020,58575,87450,166500,113190,147600,79365,24300
10/06/2020,50700,100080,148665,106755,147180,71100,27360
11/06/2020,53955,83985,153000,87750,146520,68700,18750
12/06/2020,57240,84600,155520,103620,131550,71775,22680
13/06/2020,56520,79740,139260,97020,157860,61050,17250
14/06/2020,54720,72105,141900,86400,159120,68970,17100
15/06/2020,41700,62850,154260,104220,134100,66825,19140
16/06/2020,48300,74745,128400,93885,140085,73620,16650
17/06/2020,57255,75780,123150,78600,127350,60150,18000
18/06/2020,58500,62550,132825,77700,135135,60720,16920
19/06/2020,64260,64185,111150,89280,145260,66600,14520
20/06/2020,52800,63030,110100,77880,131835,51975,13860
21/06/2020,47550,59070,118800,85140,126390,61920,12150
22/06/2020,60840,55950,118635,81180,129360,53955,13500
23/06/2020,46350,56250,112530,85500,126225,48600,13860
24/06/2020,52635,57900,98700,76725,123255,52920,11055
25/06/2020,45150,68400,103785,71940,104700,49335,10500
26/06/2020,42900,61050,85200,59700,122580,39930,11220
27/06/2020,47340,58410,87750,68145,105435,46800,10440
28/06/2020,39300,51150,88800,64350,116280,37500,9300
29/06/2020,48420,56760,102240,116280,103620,38850,11880
30/06/2020,36900,50550,92235,58800,99990,38940,9750
01/07/2020,37950,51300,79950,60060,106740,41040,8400
02/07/2020,31650,45210,90720,60225,90585,35400,9000
03/07/2020,40140,40800,73590,52800,91440,39105,7200
04/07/2020,36180,41910,66900,62640,78480,39060,8580
05/07/2020,30900,37500,78120,59940,64500,35145,10260
06/07/2020,37800,41910,65550,47700,63900,34980,8910
07/07/2020,33990,40590,60900,47400,64020,31950,8280
08/07/2020,33825,41220,56100,54180,58575,33495,6105
09/07/2020,28950,40140,52950,45300,58500,34980,6150
10/07/2020,29700,38880,51600,49005,59940,30750,5445
11/07/2020,23100,25200,59220,49170,50325,29550,5220
12/07/2020,23400,37080,46350,44250,43500,34560,4785
13/07/2020,28800,37620,46200,45210,54000,28950,4650
14/07/2020,26280,29100,44250,47520,50220,33660,4455
